[0816/174018.571:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0816/174924.834:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0816/174929.854:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0816/174934.873:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0816/175044.130:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0816/175049.146:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0816/175054.161:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0816/175059.180:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0816/175104.197:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0816/175109.204:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0816/175114.225:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0816/175119.243:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0816/175124.264:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0816/175129.292:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0816/175134.313:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0816/175139.335:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0816/211752.410:ERROR:media_internals.cc(112)] Cannot get RenderProcessHost
